Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome_log
1,0,0,0,0,360.0,1.0,2,1,4.859812404361672,8.674196940225903
1,1,1,0,0,360.0,1.0,0,0,4.859812404361672,8.714731714015052
1,1,0,0,1,360.0,1.0,2,1,4.204692619390966,8.006700845440367
1,1,0,1,0,360.0,1.0,2,1,4.795790545596741,8.505525386548555
1,0,0,0,0,360.0,1.0,2,1,4.955827057601261,8.699681400989514
1,1,2,0,1,360.0,1.0,2,1,5.5909869805108565,9.170975648453906
1,1,0,1,0,360.0,1.0,2,1,4.564348191467836,8.25582842728183
1,1,3,0,0,360.0,0.0,1,0,5.0689042022202315,8.61993026886735
1,1,2,0,0,360.0,1.0,2,1,5.1298987149230735,8.618485442898109
1,1,1,0,0,360.0,1.0,1,0,5.857933154483459,10.077860939480908
1,1,2,0,0,360.0,1.0,2,1,4.2626798770413155,8.268988209506656
1,1,2,0,0,360.0,1.0,2,1,4.700480365792417,8.375860015299594
1,1,2,0,0,360.0,1.0,2,1,5.303304908059076,9.32188174670909
1,0,0,0,0,360.0,1.0,0,0,4.74493212836325,8.454040376410969
1,1,2,0,0,120.0,1.0,2,1,2.8903717578961645,7.777373602657861
1,0,0,0,0,360.0,1.0,2,1,4.836281906951478,8.507344855361422
1,0,1,1,0,240.0,1.0,2,1,4.61512051684126,8.187855443695623
0,0,0,0,0,360.0,0.0,2,0,4.343805421853684,8.163656176168432
1,1,0,1,0,360.0,1.0,0,0,4.897839799950911,8.494538500851432
1,1,0,0,0,360.0,1.0,2,1,4.7535901911063645,8.716207971151853
1,1,0,1,0,360.0,0.0,2,0,4.653960350157523,8.94389780251682
1,1,1,0,0,360.0,1.0,2,1,5.755742213586912,9.357121103184378
1,1,0,1,0,360.0,0.0,1,0,4.762173934797756,8.414495793177895
1,1,2,1,0,360.0,0.0,0,0,4.727387818712341,8.572249397164315
1,1,1,0,0,360.0,1.0,1,0,5.0238805208462765,8.80131894766524
1,1,0,0,1,360.0,1.0,1,1,5.2574953720277815,9.165447603085447
1,1,0,0,0,360.0,1.0,1,1,4.812184355372417,8.527737405291909
1,1,2,1,0,360.0,1.0,2,1,4.709530201312334,8.569216219483389
1,0,0,1,0,360.0,1.0,2,0,3.58351893845611,7.274479558773871
0,0,2,0,0,360.0,1.0,1,1,4.795790545596741,8.671458150427666
1,1,1,0,0,360.0,1.0,2,0,5.308267697401205,8.927446816256198
1,0,0,0,0,360.0,1.0,2,0,4.31748811353631,8.060855752934316
1,0,1,0,1,360.0,1.0,0,0,4.672828834461906,8.453827315794417
1,1,0,0,0,360.0,1.0,1,1,4.74493212836325,8.550241045462437
1,0,3,0,0,360.0,1.0,0,0,5.771441123130016,9.648659816955295
1,1,0,0,0,360.0,1.0,2,1,4.859812404361672,8.376320632534823
1,1,0,0,0,360.0,0.0,2,0,4.61512051684126,8.058010800802085
0,1,0,0,0,360.0,1.0,1,1,4.976733742420574,8.5422759717837
1,0,0,0,0,360.0,1.0,2,1,5.220355825078324,9.339349052539717
1,0,0,1,0,360.0,1.0,1,1,4.709530201312334,8.597297435657898
1,0,0,0,0,360.0,1.0,2,0,4.394449154672439,8.188966863648876
1,0,0,0,0,360.0,1.0,2,1,3.871201010907891,8.01102337918644
1,1,0,0,0,360.0,1.0,2,1,4.330733340286331,7.783640596221253
